A,B,C,Desc,Answer
0.62,1.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1
1.07,-3.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 2
0.29,2.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 3
0.86,0.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 4
0,2.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 5
-0.2,0.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 6
-0.31,-1.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 7
0.45,-0.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 8
1.19,-1.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 9
1.36,-2.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 10
0.15,2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 11
0.67,1.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 12
-0.43,1.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 13
1.97,-1.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 14
-0.24,-0.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 15
0.38,1.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 16
1.08,1.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 17
0.4,-0.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 18
0.85,2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 19
-0.33,-2.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 20
1.92,-2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 21
-0.31,-2.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 22
0.37,-2.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 23
0.93,1.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 24
0.84,2.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 25
0,-0.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 26
0.68,-3.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 27
-0.06,-2.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 28
0.22,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 29
1.19,3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 30
-0.02,-0.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 31
-0.44,-2.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 32
-0.38,-1.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 33
0.05,-2.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 34
0.76,-2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 35
0.42,-1.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 36
1.41,-1.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 37
1.53,3.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 38
1.35,3.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 39
1.02,-2.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 40
1.63,-1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 41
1.57,1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 42
0.72,-3.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 43
1.59,0.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 44
1.96,2.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 45
0.15,-1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 46
1.33,-1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 47
1.92,3.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 48
-0.21,-0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 49
1.88,-1.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 50
1.98,2.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 51
0.4,3.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 52
0.98,-1.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 53
1.64,-0.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 54
1.18,-2.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 55
1.17,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 56
1.48,-1.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 57
1.03,-0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 58
0.01,3.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 59
1.04,-0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 60
1.95,-2.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 61
0.9,-3.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 62
1.39,4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 63
1.55,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 64
0.81,-3.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 65
1.47,-1.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 66
1.33,0.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 67
-0.01,0.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 68
0.55,0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 69
1.76,-0.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 70
-0.05,-3.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 71
0.8,-3.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 72
-0.19,-2.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 73
-0.19,2.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 74
0.79,3.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 75
-0.1,2.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 76
0.96,-1.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 77
-0.32,1.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 78
0.23,1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 79
1.48,-2.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 80
1.13,2.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 81
0.15,3.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 82
-0.47,1.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 83
1.41,0.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 84
1.32,-3.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 85
0.24,-0.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 86
