A,B,C,Desc
0.62,1.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.07,-3.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.29,2.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.86,0.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0,2.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.2,0.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.31,-1.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.45,-0.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.19,-1.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.36,-2.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.67,1.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.43,1.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.97,-1.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.24,-0.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.38,1.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.08,1.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.4,-0.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.85,2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.33,-2.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.92,-2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.31,-2.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.37,-2.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.93,1.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.84,2.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0,-0.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.68,-3.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.06,-2.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.22,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.19,3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
